S.No,County,Median Household Income,Poverty Estimate,Poverty Estimate(%),Effective County Tax Rate,2020-21 Per Capita Income,Total  County Revenue,Relative Effort as percent of revenue per student,Total Local Appropriations,Total Local Appropriations  per ADM,Teacher Attrition Rates,Teacher Vacancy Rates,Total no of crime acts committed,Total no of crime acts committed per 1000 students,Female dropouts,Male dropouts,Asian dropouts,Black dropouts,Hispanic dropouts,American Indian dropouts,White dropouts,Total Students Enrolled,Total dropout count
1,Alamance County,53220,24978,15.1,0.57,44418,175589221,0.28,46312686,2186,0.14,0.04,14,0.66,61,99,.,43,73,.,37,21742,160
2,Alexander County,53523,4248,11.8,0.64,42147,25967631.77,0.34,8876984,1985,0.17,0.02,3,0.67,13,16,1,1,3,.,22,4499,29
3,Alleghany County,39916,2004,18.1,0.59,42648,13679850.06,0.22,4069801,3157,0.17,0.12,0,0,5,6,.,.,3,.,8,1281,11
4,Anson County,40818,4692,20.7,0.7,42055,18271011.33,0.3,7599013,2602,0.15,0.15,0,0,13,19,.,12,4,.,13,2982,32
5,Ashe County,44543,3913,14.5,0.41,41284,34876228.62,0.19,6871080,2483,0.15,0,1,0.36,4,16,.,.,5,.,15,2828,20
6,Avery County,50800,2398,15.8,0.44,40197,42012788.44,0.15,6370000,3601,0.19,0.03,2,1.31,4,6,.,.,.,.,10,1825,10
7,Beaufort County,50253,8434,18.1,0.59,49748,54042365.27,0.28,15564375,2656,0.14,0.06,2,0.34,18,35,1,13,8,3,28,5932,53
8,Bertie County,41889,3916,22.8,0.84,42000,11158594.57,0.34,5601463,3117,0.15,0.07,0,0,2,.,.,2,.,.,.,1876,2
9,Bladen County,43664,7045,21.6,0.77,43369,24646409.82,0.33,8897656,2303,0.13,0.23,2,0.52,8,12,.,8,4,1,7,3881,20
10,Brunswick County,64371,16628,11.2,0.44,52706,266342234.4,0.15,41039549,3431,0.16,0.06,10,0.84,31,48,.,12,11,1,52,12101,79
11,Buncombe County,66156,35693,13.9,0.49,53944,400932874.3,0.25,92086094,3552,0.16,0.01,44,2.02,49,88,.,7,41,.,78,22298,137
12,Burke County,48729,16166,18.4,0.62,41229,70890379.05,0.27,20693700,1836,0.12,0.01,10,0.89,31,44,.,1,16,.,53,11452,75
13,Cabarrus County,79736,17543,8,0.71,49592,278846410,0.31,82885199,2192,0.12,0.02,35,1.08,140,185,6,89,87,.,123,32729,325
14,Caldwell County,50235,10557,13,0.59,40147,68415273.44,0.28,18927550,1796,0.13,0.02,36,3.42,39,43,.,3,13,.,59,10630,82
15,Camden County,72135,806,7.4,0.63,52032,10490482.96,0.25,4809928,2724,0.16,0.04,4,2.27,1,4,.,.,1,.,4,1775,5
16,Carteret County,63475,6394,9.3,0.3,57329,150765412.5,0.14,23274410,3014,0.13,0.01,16,2.07,18,45,.,2,10,2,42,7781,63
17,Caswell County,48070,3287,15.4,0.73,38866,12856415.1,0.28,4936226,2250,0.12,0.07,3,1.37,3,5,.,2,3,.,3,2245,8
18,Catawba County,52737,18349,11.6,0.51,49400,188654963.7,0.22,40061522,1846,0.18,0.02,34,2.24,58,97,4,14,21,.,101,15370,155
19,Chatham County,74747,7186,9.6,0.63,70130,101726051.8,0.26,36253921,4253,0.16,0.07,18,2.11,9,31,.,5,23,.,11,8722,40
20,Cherokee County,44449,4337,15.1,0.46,37421,33335820.6,0.29,8756062,3109,0.13,0.01,2,0.71,5,5,.,.,.,.,10,2854,10
21,Chowan County,45365,2350,17.3,0.7,46206,13628035.84,0.29,5471596,3026,0.13,0.03,1,0.55,5,5,.,2,4,.,4,1811,10
22,Clay County,44052,1862,16.4,0.41,40229,15662577.63,0.13,3429799,2970,0.14,0.01,2,1.73,3,4,.,.,.,.,6,1178,7
23,Cleveland County,49041,14524,15,0.67,41569,87022816.94,0.55,29162043,2134,0.13,0.04,31,2.27,77,108,.,44,15,.,111,13865,185
24,Columbus County,40712,11012,21.3,0.75,40202,36153280.79,0.3,13286378,1881,0.14,0.09,0,0,9,34,.,14,.,2,25,5176,43
25,Craven County,53960,12681,13.2,0.49,50408,96675022.65,0.23,23878495,1914,0.18,0.07,19,1.52,17,41,.,18,7,.,28,12648,58
26,Cumberland County,49160,58933,18.5,0.73,43028,272532699.5,0.36,97101878,2056,0.09,0.03,27,0.57,62,115,.,85,22,2,51,48599,177
27,Currituck County,73433,2772,9.6,0.44,53380,62402920.15,0.18,11478196,2791,0.14,0.04,3,0.73,4,14,.,3,1,.,14,4124,18
28,Dare County,72962,3262,8.8,0.4,65191,147273176.7,0.13,23230449,4643,0.15,0.01,13,2.6,11,18,1,.,9,.,17,5119,29
29,Davidson County,56067,20044,12,0.52,44191,144121536.7,0.31,40619037,1795,0.15,0.1,36,2.05,105,159,1,12,24,.,220,17821,264
30,Davie County,65418,4121,9.6,0.69,53558,43064528.63,0.27,11871203,2080,0.2,0.04,8,1.4,21,28,2,3,8,.,34,5766,49
31,Duplin County,49755,10643,18.3,0.67,44729,43922793.42,0.24,14805936,1588,0.17,0.06,10,1.07,36,72,.,16,59,.,30,9421,108
32,Durham County,65619,36583,11.7,0.63,55464,484792460.2,0.29,151278656,4910,0.16,0.09,13,0.42,157,259,4,151,215,.,28,31603,416
33,Edgecombe County,45156,12004,24.1,0.92,40755,34366483.36,0.25,10072732,1897,0.11,0.1,5,0.94,14,29,.,13,10,.,17,5360,43
34,Forsyth County,56158,48382,13,0.7,52167,401981505.8,0.33,134708592,2678,0.14,0.05,51,1.01,212,319,7,166,199,.,126,51289,531
